Occupation Name,Verb-Noun Pairs,Matched Verb-Noun Pairs from AI
Recycling and Reclamation Workers,collect material,"generate material, collect measurement, produce material, collect information, collect component, manipulate material, incorporate material, contain material"
Oral and Maxillofacial Surgeons,evaluate position,"evaluate definition, determine assignment, assess presentation, select position, assess orientation, obtain position, indicate position, determine orientation, establish position, calibrate position, measure position, employ position, position information, evaluate structure, determine representation, position perception, estimate position, evaluate recognition, determine direction, position component, position indicator, assess function, determine position, determine positioning, determine alignment, evaluate causality, correct position, evaluate communication, evaluate positioning, position framework, evaluate function, identify position, consider position, determine recommendation, determine substitution, specify position, recognize position, acquire position, evaluate correlation, evaluate condition, determine presentation, assess stratification"
"Career/Technical Education Teachers, Secondary School","attend meeting, improve competence","improve impairment, improve stimulation, enhance adaptability, improve emotion, improve understanding, improve efficacy, improve distribution, improve quality, improve treatment, improve processing, enhance conformance, improve resolution, improve fidelity, improve registration, improve content, improve engagement, improve datum, improve business, improve network, improve responsibility, improve environment, enhance perception, improve response, enhance assessment, enhance experience, improve adaptation, improve production, enhance reliability, improve automation, improve process, improve control, improve selection, improve utilization, improve flexibility, improve precision, improve determination, improve effectiveness, improve accuracy, enhance cognition, improve technique, enhance learning, improve compliance, enhance training, improve wellness, improve recovery, enhance competence, enhance knowledge, improve workflow, improve behavior, improve application, improve skill, improve enhancement, enhance supervision, improve procedure, improve efficiency, improve cognition, improve visualization, improve outcome, improve accessibility, improve communication, improve strategy, improve recognition, enhance engagement, improve entropy, improve awareness, improve tolerance, improve robustness, improve evaluation, improve construction, improve throughput, enhance recognition, improve attention, enhance accessibility, improve shaping, improve prediction, improve measurement, improve reliability, improve intelligence, improve conversation, improve analysis, improve question, improve sensitivity, improve management, improve stability, improve connectivity, improve knowledge, facilitate proficiency, enhance capability, improve training, improve translation, improve apparatus, improve handling, improve microorganism, improve experience, improve ability, improve result, improve focus, enhance management, improve capacity, improve optimization, improve relevance, improve function, improve operation, improve allocation, improve placement, improve adaptability, improve interaction, improve segmentation, enhance performance, enhance optimization, improve sensing, enhance prediction, improve avoidance, improve transcript, enhance development, improve usability, improve diversity, improve concentration, improve mapping, enhance relevance, improve recommendation, improve learning, improve reconstruction, improve information, improve productivity, improve condition, improve parallelism, improve protocol, improve classification, improve expectancy, improve parameter, improve achievement, enhance expertise, improve connection, improve functionality, improve visibility, improve provision, enhance usability, improve generation, enhance functionality, improve durability, improve competency, improve attractiveness, improve interpretation, improve protection, improve dysfunction, improve vision, improve presentation, improve functioning, improve establishment, improve healthcare, improve intelligibility, enhance consolidation, enhance intelligence, improve capability, enhance recommendation, improve performance, enhance memorability, enhance support, improve estimation, improve detection, improve definition, enhance communication, improve trait, enhance efficiency, improve security"
"Special Education Teachers, Preschool",display work,"determine work, perform work, work scheduling, work apparatus, work equipment, identify work, work surface"
Gambling Cage Workers,use register,"use access, use reasoning, use compound, use distillation, use terminal, use prescription, use intelligence, use doppler, use pseudonym, use adaptability, use distance, use lactate, use exercise, use assistant, use molecule, use estimator, use catalyst, use transfer, use provenance, use intermediary, use confidence, use scanning, use sensor, use curricula, use tracing, use asset, use emulation, use ultrasound, use spectrum, use spectra, use apparatus, use appliance, use filtration, use making, use market, use heuristic, use extension, use psilocybin, use regression, use maze, identify use, use strength, use geometry, use automation, use utterance, use variable, use spline, use preparation, use planner, use site, use reality, use scan, use protection, use ledger, use trajectory, use scale, reduce use, manage use, use modeling, use radix, use topology, use reinforcement, use assembly, use accumulation, use collaboration, use fingerprinting, use polymer, use running, use glove, use neuroscience, use ellipse, use lithography, use support, use perturbation, use document, use read, use satellite, use detection, use metadata, use patch, use background, use lineage, use normalizer, use graph, use conversion, use affect, use reaction, use script, use programming, use example, use server, use functionality, use synchronization, use attribute, use processing, use pillar, use content, use override, use note, use interaction, use repository, use credential, use domain, use secret, use gate, use counter, use combination, use value, use circumstance, use illustration, use normalization, use lattice, use policy, use tetracycline, use sensing, use location, use consensus, use collection, use candidate, use event, use consumer, use discovery, use count, use particle, use tensor, use assessment, use recovery, use point, use guesser, use relevance, use user, use abstract, use difference, use resource, use mutation, use occupancy, use management, use update, use heartbeat, monitor use, use database, use surveillance, use vector, use cognition, use universal, use cue, use surrogate, use voting, use similarity, use argument, use palette, use case, determine use, use pipeline, classify use, use histogram, use keypad, use input, use localization, use automobile, use clustering, use pegboard, use allocation, use gesture, use aircraft, use deferral, use buffer, use message, use potential, use weighting, use capture, facilitate use, use correlation, use camera, use type, use sampling, use matrix, use asymmetry, use diagnosis, use packaging, use algorithm, use resonance, use subsystem, use connection, use parameter, use operator, use configuration, use factorization, use signature, use entity, use magnification, use plurality, use fabric, use tiling, use washer, use polymerization, use object, use packer, use logic, use measurement, use imagery, use index, use reasoner, use propensity, use LOGIC, use contract, use skip, use manipulator, use evaluation, use portion, use environment, use accent, use integration, use hydrogel, use robot, use sentiment, use profiling, use quantification, use tomography, use phase, use property, use patient, use routine, use community, use shield, use indicator, use dialogue, use depolarization, use formulation, use quotient, use characteristic, use contour, use definition, use consistency, use controller, use window, use field, use provider, use evolution, use variant, use table, use overlay, use absorption, use measure, use subunit, use output, use fluctuation, use benzodiazepine, use graphic, use relation, use representation, use circuit, use workflow, use forecasting, use stub, use emotion, use projection, use cache, use reclassification, use classification, use scheme, use recording, use computation, modify use, use boundary, use mean, use uncertainty, use behavior, use electrocardiogram, use convolution, use imitation, use consumption, use template, use commerce, use compression, use reconstruction, use plating, use device, use internet, use discrimination, use protease, use diagram, use partitioning, use pharmaceutical, use certificate, use landmark, use relay, use volume, use verification, use synthesis, use steering, use topic, use neighborhood, use generation, use instance, use interrogation, use query, use header, use coupling, use optimization, use encoding, use spam, use exception, use function, use insight, use module, use comprehension, use summarization, use file, use descent, use factor, use cookie, use therapy, use sweep, use ligation, use computing, use scaling, use generator, use dispersal, use medium, use technology, use signal, use information, use component, use bottleneck, use resolution, use sensitivity, use alloy, use instantiation, use interpolation, use slice, use framework, use character, use surface, use concatenation, use collision, use token, use handler, use system, use correspondence, use product, use bonding, use analysis, use differentiator, use premise, use thermography, use dynamic, use control, use antibody, use client, use tool, use bandwidth, use stability, use mixture, use composition, use taxonomy, use texture, use catheter, use variance, use reconnaissance, use inhibitor, use switching, use colour, use representative, use anatomy, use metric, use equilibrium, use constraint, use navigation, use antenna, use utility, use canvas, use proxy, use neighbor, use spectrometry, use picture, use honeypot, use construct, use validation, use dimension, support use, use monitoring, use grating, use phrase, use problem, use oracle, use security, use question, use inspection, use prior, use statistic, use actuator, use manager, use personality, use sequence, use tending, use group, use pixel, use intensity, use induction, use vocabulary, use choice, use physiology, use code, adjust use, use store, use movement, use radiation, use address, use architecture, use evidence, use perspective, detect use, use language, use identifier, use tracker, use conversation, use reset, use stimulus, use stack, use bot, use tachograph, use forward, use hardware, use form, use compiler, use revenue, use motion, use amplification, use understanding, use ethernet, use wearable, use catalog, use dialog, use driving, use agency, use criterion, use interface, use cluster, use retrieval, use context, use record, use predictor, use reduction, use departure, use packet, use segment, use electrolysis, use spelling, use science, use waveform, use diversity, use activity, use equipment, use service, use balancing, use manner, use display, use substitution, use interval, use design, use recommendation, use algebra, use thesaurus, use simulator, use learning, use basis, use primitive, use experience, use rating, use warping, use profile, use attention, use authentication, use envelope, use click, use perforation, use transducer, use repertoire, use portal, use history, use evaluator, use network, use annotation, use irradiation, use primer, use locator, use guide, use inference, use tocopherol, use ablation, use principle, optimize use, use separation, use blueprint, use machine, use transaction, use direction, use approach, use result, use seam, use sensitizer, use block, use string, use reagent, use alias, use grid, use gradient, use solution, use infrastructure, use procedure, use bacteriophage, use symmetry, use grouping, use interest, use program, use capacity, use polygon, use memory, use illumination, use inversion, use penalty, use adjustment, use oscillator, use level, use contrast, use indication, use instruction, use frame, use modulus, use detector, use target, use channel, use check, use view, use description, use stimulation, use decomposition, use temperature, use rotation, use hologram, use juxtaposition, use oscillation, use pressure, use orchestration, use priming, use diffusion, use pattern, use encryption, use commodity, use instrument, use probe, use ranking, use spreadsheet, use discriminator, use aggregation, use ensemble, use log, use authorization, use symbol, use adaptation, use gateway, use occurrence, use shard, use change, use population, use processor, use extraction, use planning, use modality, use training, use bridge, use biofeedback, use quantum, use cardiogram, use visualization, use wallet, use conditioning, prevent use, use disclosure, use modulation, use estimate, use compensation, use magnet, use fragment, use subset, use timing, use process, use permit, use highlight, use conductance, use alert, use ordering, use immunofluorescence, indicate use, use specification, use photograph, use parallelism, use entropy, use queue, use estimation, use dictionary, use plug, use engineering, use slider, use chromatography, use transmission, use alignment, use category, use hyperlink, use core, use manufacturing, use agonist, use implementation, use screen, use trial, use library, use cleaner, use computer, use popularity, use tonus, use ontology, use identification, use artifact, use coding, use affinity, use ophthalmoscope, use number, use intent, use connectivity, use prop, use simulation, use headphone, use shifter, use container, use excitation, use drawing, use positioning, use indexing, use feature, use handle, use storage, use descriptor, use microphone, use prediction, use bladder, intervene use, use pulse, use pseudo, use telephone, use filter, use sharing, use response, use correction, use sample, use relationship, use extract, use repeater, use phone, use copy, use regularization, use association, use mechanism, use imaging, use software, use chamber, use drone, use transistor, restrict use, use citation, use variation, use mapping, use article, use awareness, use coordination, use manifold, use replay, make use, use electrode, use electromyography, use vehicle, use probability, use vision, use personification, use distribution, use dial, use foresight, use platform, use operation, use cycle, control use, use electroencephalogram, use quantization, use batch, use deviation, use grammar, use knowledge, use prefix, use playback, use alarm, use concealment, use account, use replacement, use vibration, use array, use scoring, use scheduler, use spectroscopy, use reward, use panel, use summary, use transformer, use insertion, use feedback, use reactor, use tap, use supplementation, use therapeutic, use budget, use classifier, use microscopy, use heating, use session, use phosphor, use fingerprint, use vocalization, use material, use segmentation, use nuclease, use pause, use determination, use linkage, use accelerator, use reader, use mirror, use loyalty, use momentum, use datum, use pass, use proposal, use cryptography, quantify use, use capability, use layout, use multitude, use item, use guarantee, use avalanche, use stream, use supervision, use augmentation, use delivery, use earphone, use condition, use transformation, use currency, use newsletter, use networks, use guidance, use search, use application, use extractor, use strategy, use qualification, use snapshot, use spectrometer, use pointer, use difficulty, use element, use dispersion, use dioxide, use cursor, use stroke, use triangulation, use analyzer, use website, use telemetry, use velocity, use communication, use apprenticeship, use antagonist, use model, use replication, use recognition, use comparison, use selection, use link, use frequency, use polishing, use pruning, use repetition, use format, use satisfaction, use mismatch, use messenger, use protocol, use observation, use agent, use approximation, use scheduling, use command, use decoding, use magnetometer, use method, use marker, use expression, use peptide, use nitrogen, use pricing, use teacher, use entry, use publication, use proof, use coordinate, use tracking, use swarm, use beacon, use package, use metabolism, use mobile, use intersection, use source, use concept, use variability, use preference, use clumping, use accelerometer, use propagation, use interoperability, use request, use reference, use microscope, use multiple, use hierarchy, predict use, use preview, enable use, use dilation, use kernel, use lexicon, use node, use translation, use adder, use coherence, use effect, use fusion, use technique, use threshold, use marking, use receptivity, use fluorescence, use structure, use nanotube, use browser"
Water/Wastewater Engineers,provide support,"provide opportunity, provide proxy, provide biofeedback, provide intervention, provide content, provide interface, provide architecture, provide terminology, provide advice, provide multiplication, provide assistant, provide perception, support component, provide result, support extraction, provide transformation, provide help, provide representation, provide timing, provide synchronization, provide program, support equipment, support development, provide allocation, support modification, provide assessment, support navigation, provide modification, enable support, provide enhancement, provide connectivity, provide expansion, support balancing, provide education, provide response, provide portability, provide service, provide nursing, provide setting, provide calibration, provide integrity, provide activity, provide information, provide recommendation, provide alternative, provide distribution, provide guidance, support construct, support transformation, provide access, provide transaction, provide messaging, provide mechanism, provide overlay, provide organization, provide testing, offer communication, support rehabilitation, support instruction, provide interoperability, provide guideline, provide document, provide structure, provide insulation, provide assistance, provide component, provide connection, provide support, provide extension, provide authentication, provide quotation, provide stabilization, provide accessibility, provide performance, provide effectiveness, provide platform, provide expression, provide emergence, provide container, provide security, provide inspiration, provide coverage, provide indication, provide notification, provide capability, provide understandability, provide ordering, provide selection, support understanding, provide function, provide tracking, provide cognition, provide simulation, provide credential, provide monitoring, provide arrangement, provide control, provide portion, provide distance, provide visualization, provide adaptation, provide sensation, provide nutrition, provide problem, provide transcription, provide dialogue, provide quality, support verification, provide stimulation, provide refocusing, provide deployment, provide vision, support allocation, provide generator, provide resolution, support accelerator, provide material, provide interaction, provide compensation, provide friction, provide mobility, produce support, provide suggestion, support interaction, provide meeting, provide pressure, provide infrastructure, provide plurality, provide linkage, provide collaboration, provide prompt, provide strategy, provide solution, provide datum, support processing, provide processor, provide avoidance, provide customer, support access, provide attribution, support deployment, provide element, provide interpretation, provide substance, provide warning, achieve support, provide agility, provide stimulus, provide measure, provide outcome, provide development, provide management, provide summary, provide mismatch, provide condition, provide retraining, provide foundation, provide classifier, provide proposal, provide relevance, provide descriptor, provide advertising, provide resource, provide operator, support connectivity, provide verification, provide network, provide recovery, provide portal, provide operation, provide change, provide dashboard, provide infotainment, provide objective, provide exchange, provide reference, provide communication, provide combination, provide incentive, provide optimization, provide healthcare, provide mapping, provide discovery, support experience, provide prediction, provide prevention, provide assurance, provide treatment, provide terminal, provide announcement, provide titration, provide commercial, provide pruning, provide environment, provide sorting, provide context, provide translation, provide framework, provide agreement, provide screening, provide indicator, support sharing, provide commerce, provide provenance, provide correction, provide exercise, provide continuity, provide stretching, provide application, provide automation, support convolution, provide therapeutic, support continuity, provide repository, support application, support individual, provide amusement, support capability, provide evaluation, provide attention, provide reversal, provide workflow, provide internet, support information, provide identification, provide course, support management, support maintenance, provide conversation, support combination, provide recognition, provide offer, provide processing, support appliance, provide advertisement, provide transmission, provide definition, provide coordination, provide pacing, provide eta, provide availability, support enhancement, support connection, provide identifier, provide option, provide encryption, provide orchestration, provide experience, provide consultation, provide awareness, provide specification, provide classification, support environment, augment support, provide profile, support replication, provide comparison, provide database, provide advisor, provide engineering, provide advancement, provide functionality, provide relationship, provide detection, provide rendering, provide redundancy, provide maintenance, support protection, provide benefit, provide uncertainty, provide improvement, support functionality, provide approach, provide instruction, facilitate support, provide impairment, support assessment, provide systems, provide explanation, provide instructor, provide generation, provide tolerance, provide server, provide training, provide transfer, provide isolation, provide question, provide marketplace, provide relief, support communication, provide segmentation, provide reasoning, regulate support, provide apparatus, provide reduction, provide intelligence, provide estimate, provide presentation, provide direction, provide protection, provide telecommunication, provide monitor, provide reservation, provide complication, provide equipment, provide protocol, provide dialog, provide reflection, provide configuration, enhance support, provide aggregation, provide reward, provide learning, provide feedback"
Loss Prevention Managers,maintain database,"provide database, distribute database, implement database, operate database, utilize database, generate metadata, construct database, distribute metadata, manage database, generate database, maintain resource, maintain compatibility, maintain software, maintain network, integrate database, maintain ledger, maintain information, establish database, maintain database, maintain authentication, maintain directory"
"Career/Technical Education Teachers, Middle School",prepare material,"prepare composition, prepare material, prepare compound"
Refuse and Recyclable Material Collectors,add fluid,"add layer, add anomaly, add parameter, add trigger, add robustness, add watermark"
Marine Engineers and Naval Architects,"evaluate performance, determine change","evaluate definition, evaluate efficiency, evaluate consistency, optimise performance, discover change, register change, determine difference, change personality, determine prediction, change configuration, change monitoring, evaluate usability, evaluate recognition, assess quality, determine performance, evaluate quality, determine switching, optimize appraisal, evaluate change, evaluate consumption, assess productivity, recommend change, determine alternative, introduce change, provide change, evaluate success, evaluate positioning, evaluate satisfaction, determine preference, change apparatus, assess intelligibility, ascertain suitability, assess stratification, determine adjustment, assess presentation, monitor change, determine hybridisation, evaluate professional, evaluate individual, coordinate change, determine relevance, assess instability, predict change, perform assessment, determine familiarity, change acquisition, perform analysis, assess compliance, change condition, improve evaluation, investigate performance, perform change, assess function, change optimization, change methodology, evaluate visualization, assess cognition, evaluate selection, evaluate communication, determine comprehensiveness, evaluate function, predict performance, evaluate performance, identify change, calculate performance, evaluate accuracy, evaluate complexity, change classification, change detection, assess effectiveness, assess dynamic, determine dependency, assess orientation, analyze performance, monitor performance, exploit change, communicate change, manage performance, evaluate integrity, generate performance, assess complexity, reduce change, instruct change, mitigate change, facilitate change, quantify performance, analyze effectiveness, determine relevancy, manage change, determine change, determine progress, facilitate performance, perform calibration, assess capability, change parameter, enhance performance, analyse performance, determine positioning, maximize performance, determine modification, evaluate causality, determine correction, induce change, measure performance, evaluate engagement, change perspective, change occurrence, evaluate experience, evaluate intelligibility, control change, determine progression, evaluate relevance, assess performance, evaluate correlation, evaluate characteristic, evaluate vulnerability, perform measurement, classify change, detect change, evaluate simulation, evaluate reliability, determine understanding, optimize performance, evaluate effectiveness, assess usability, assess progression, determine deceleration, change discovery, determine alignment, change function, improve performance, evaluate capability, evaluate transcription, assess reliability, encourage change, capture change, determine suitability"
